C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A037,R170,'05-00-03,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,26337967,4276099
A037,R170,'05-00-03,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,26337990,4276108
A037,R170,'05-00-03,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,26338027,4276117
A037,R170,'05-00-03,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,26338115,4276140
A037,R170,'05-00-03,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,26338182,4276154
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,337517,1029147
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,337517,1029147
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,337522,1029206
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,337526,1029261
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,337539,1029302
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,337550,1029321
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,2545061,3067618
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,2545061,3067619
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-26T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,2545067,3067685
